City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
509,morant bay,JM,86.63,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
513,ternate,ID,80.94,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
517,santiago de cuba,CU,86.52,scattered clouds,20.0247,-75.8219,Cubanacan San Felix
521,moshupa,BW,79.21,clear sky,-24.7782,25.4155,Sim's Bed & Breakfast
522,les cayes,HT,86.81,broken clouds,18.2,-73.75,Villa Orphee
523,tecuala,MX,87.06,scattered clouds,22.3986,-105.4569,Hotel y Restaurante Candelaria
524,hwange,ZW,85.55,scattered clouds,-18.3693,26.5019,Hwange Colliery Guest House
526,kalemie,CD,76.84,broken clouds,-5.9475,29.1947,Mahobilali
529,ishigaki,JP,77.31,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
531,gazipur,BD,80.56,haze,23.9981,90.423,Murshida & Zakir's Nest
